Year,log.q,log.h,log.p,log.pc,log.pv,log.w,log.n,log.y_n,log.pf
1930,1.932,1.902,2.068,0.976,0.367,1.462,2.09,2.781,1.101
1931,1.892,1.882,2.004,0.753,1.184,1.362,2.093,2.712,1.106
1932,1.826,1.761,1.897,0.814,1.124,1.23,2.096,2.591,1.129
1933,1.751,1.741,1.968,1.007,0.993,1.204,2.099,2.561,1.149
1934,1.779,1.778,2.017,1.092,0.641,1.267,2.102,2.614,1.14
1935,1.822,1.805,1.982,1.045,0.822,1.29,2.104,2.662,1.177
1936,1.796,1.793,2.107,1.092,0.824,1.301,2.108,2.713,1.174
1937,1.851,1.835,2.025,0.925,0.903,1.352,2.11,2.741,1.175
1938,1.85,1.825,2.037,0.934,1.322,1.342,2.113,2.704,1.196
1939,1.8,1.797,2.075,0.959,0.739,1.352,2.117,2.731,1.169
1940,1.887,1.86,2.037,0.995,1.101,1.362,2.121,2.76,1.196
1941,1.809,1.809,2.127,1.231,1.373,1.431,2.125,2.843,1.198
1942,1.752,1.752,2.38,1.28,1.691,1.531,2.13,2.94,1.192
1943,1.686,1.686,2.648,1.298,1.582,1.648,2.136,2.99,1.148
1944,1.85,1.85,2.566,1.317,1.038,1.732,2.141,3.025,1.144
1945,1.863,1.863,2.613,1.353,0.805,1.792,2.146,3.031,1.171
1946,1.908,1.906,2.584,1.514,1.49,1.851,2.15,3.051,1.17
1947,1.909,1.879,2.504,1.504,1.503,1.881,2.159,3.069,1.246
1948,1.868,1.868,2.59,1.483,1.729,1.903,2.166,3.107,1.341
1949,1.894,1.893,2.494,1.456,1.187,1.892,2.174,3.101,1.376
1950,1.916,1.879,2.509,1.603,0.818,1.898,2.181,3.133,1.398
1951,1.921,1.917,2.567,1.579,NA,NA,2.189,3.166,1.419
